file,event,lab_a,lab_b,gap,angle,offset,e_a,e_b,len_a,len_b,reason
flow0000001,0,6,32,17.048793096118807,6.464564203695996,6.067257442171608,846.8006384074688,129.12595710903406,500.8559648588682,38.92456442527153,anchors 18.8cm > eps5
flow0000001,0,7,10,36.372434589331384,7.825324927855437,0.46593809121122104,764.5218071043491,59.34529576450586,496.38138565270833,35.357937689807116,anchors 37.4cm > eps5
flow0000001,0,98,115,62.606525200895355,1.5348471487665896,4.072289692406545,456.1007786989212,158.33644435554743,323.19582598543695,97.77060193546089,anchors 63.0cm > eps5
flow0000001,0,107,125,79.70187008851906,0.5194081837003276,0.7507652242013124,235.787782587111,164.49604314565659,126.4611068655111,97.94061604677484,anchors 80.1cm > eps5
flow0000001,0,123,131,22.78179837040256,10.820266050085861,3.4314815732925017,315.2086203470826,106.71086862683296,50.78978832357871,29.75429701019486,anchors 22.6cm > eps5
flow0000001,0,14,15,3.7488854133280274,7.247748729307922,3.7083854884792133,212.13262156397104,102.5597785115242,51.613861845199175,46.28224451876147,doca 3.05 >= 0.75 (bnd)
flow0000001,0,14,18,14.175064952879447,2.9949021604466353,0.48384187330397677,212.13262156397104,75.55444885790348,51.613861845199175,20.280214539433715,anchors 14.5cm > eps5
flow0000001,0,24,40,56.53434632182923,3.5413810519809235,3.443487389993247,357.48779805749655,320.4456508010626,253.02454326146864,194.89172866676682,anchors 57.3cm > eps5
flow0000001,0,26,35,21.424030780439573,14.101595933497734,0.22351229195420882,105.0556875616312,75.12580522149801,66.26277521792537,23.813039947641187,anchors 21.8cm > eps5
flow0000001,0,34,38,52.85171390492709,0.35118650739873936,2.7056325541624746,78.35320982336998,651.1214215382934,50.57059001340983,395.3051958585543,anchors 53.7cm > eps5
flow0000001,0,44,85,43.917437081656296,0.9550994412367116,2.7829103279864587,106.90926734358072,585.9687415510416,65.82055205052714,400.97587426318677,anchors 44.7cm > eps5
flow0000001,0,161,163,2.9858023094841215,3.835814788507932,0.8912014833579023,204.99551760405302,259.70980954915285,59.502383397313736,76.87900860827499,anchors 5.3cm > eps5
flow0000001,0,48,70,9.053428184701634,0.22881331462561702,0.5913783590823066,456.29344418644905,85.93965776264668,297.5367159030251,52.37916370327216,anchors 10.2cm > eps5
flow0000001,0,48,76,62.629654002126955,0.6212813573854069,2.293901972852722,456.29344418644905,191.20982421189547,297.5367159030251,76.26951563410745,anchors 69.3cm > eps5
flow0000001,0,95,97,57.55386215702693,6.697133496581741,1.983042892187872,60.10720510035753,70.12634604424238,23.6662966782661,23.07608624874432,anchors 57.7cm > eps5
