file,event,label,e_mev,length,linearity,purity,foreign,hint,dom_t0,top_foreign
flow0000001,0,1,577.7453772723675,144.24402705407363,0.8641438414350081,0.8102456668163015,109.62968881428242,mixed/absorbed,53.7345415679953,g40:110MeV(t0 562)
flow0000001,0,36,774.9512784257531,496.41505661699375,0.999978285917056,0.947650768283119,40.56810404360294,mixed/absorbed,484.01749016115207,g40:30MeV(t0 562)
flow0000001,0,45,816.6182201206684,505.2522179898522,0.9999885617311662,0.9567436667545699,35.32390986382961,mixed/absorbed,24.754927183378726,g10:35MeV(t0 223)
flow0000001,0,165,629.5779517889023,473.7690161226442,0.9985723782076112,0.7969271044797214,127.85021762549877,bad-stitch?(tpc68),68.96401056719135,g1:128MeV(t0 34)
flow0000001,0,355,129.63071053475142,37.775265073147295,0.800865079366306,0.5125835746415383,63.18413754552603,mixed/absorbed,281.4286442282212,g16:63MeV(t0 289)
flow0000001,0,361,92.7208834066987,26.635781450002348,0.8452268349970213,0.6936784830734212,28.4024016559124,mixed/absorbed,381.6406061808268,g32:28MeV(t0 488)
flow0000001,0,512,1896.0558126941323,92.8404711938037,0.5978219315584614,0.82705209181399,327.9188866093755,mixed/absorbed,54.09329279782757,g40:326MeV(t0 562)
flow0000001,0,591,61.328965447843075,21.33604161909545,0.8728015548736923,0.6133740757455198,23.711367949843407,mixed/absorbed,272.12065982818604,g16:24MeV(t0 289)
flow0000001,0,1254,556.5308693423867,98.62614737705167,0.8310775011682359,0.6801662503755811,177.99735472351313,mixed/absorbed,60.67423046767521,g37:160MeV(t0 542)
flow0000001,0,1363,483.66977152973413,38.8708296605351,0.6136554717660895,0.9533516963815015,22.562374353408813,mixed/absorbed,404.17158830598635,g42:20MeV(t0 582)
flow0000001,0,1677,258.3476047515869,37.45509178485859,0.7675231362971024,0.8767749652293709,31.834892578423023,mixed/absorbed,193.1673601092714,g0:32MeV(t0 15)
flow0000001,0,1947,957.8125801384449,111.22641079060926,0.8824638935990298,0.8601443297422542,133.95552037656307,mixed/absorbed,31.342066615670443,g23:95MeV(t0 365)
flow0000001,1,2,1256.2292696610093,200.38925584166822,0.7172979846658437,0.8012439359319816,249.68318520486355,mixed/absorbed,286.19386454515677,g49:250MeV(t0 585)
flow0000001,1,34,106.40817417949438,36.04611629623892,0.9252352369988802,0.8011695781815531,21.157182157039642,mixed/absorbed,619.0995235443115,g62:19MeV(t0 890)
flow0000001,1,38,420.5400870516896,253.77163645698843,0.9993034742767235,0.890901511293546,45.88028793781996,mixed/absorbed,349.8400963882557,g14:46MeV(t0 154)
flow0000001,1,246,171.8151435777545,26.229674675038446,0.8353710424594453,0.8827585818861114,20.143851086497307,mixed/absorbed,79.61419497948039,g49:20MeV(t0 585)
flow0000001,1,346,81.41644938290119,21.475714180582283,0.8314321137812006,0.735559868230939,21.529776602983475,mixed/absorbed,249.35326421828498,g49:22MeV(t0 585)
flow0000001,1,568,367.37429901212454,89.14644459598843,0.8891872735726963,0.8287704679638539,62.905329301953316,mixed/absorbed,286.0900387234158,g49:61MeV(t0 585)
flow0000001,1,1475,372.75097235292196,71.38069859159916,0.8725863799020963,0.8214051365268672,66.57140901684761,mixed/absorbed,255.25803992105696,g29:67MeV(t0 342)
flow0000001,10,53,223.70981635153294,167.94661679664893,0.9979367800746267,0.8925179370207419,24.04479257017374,mixed/absorbed,249.48341574808913,g31:24MeV(t0 348)
flow0000001,10,76,398.9173234850168,57.555053346214805,0.9198406819916416,0.9218233092781333,31.186036221683025,mixed/absorbed,217.27864851031387,g37:31MeV(t0 404)
flow0000001,10,582,70.88602530956268,18.253651697956162,0.7465609582605625,0.4090421026102969,41.89065647125244,mixed/absorbed,525.2008952688664,g14:23MeV(t0 162)
flow0000001,10,1023,301.8053960725665,60.69953635918246,0.8228588059547607,0.6515219315894688,105.1725614592433,mixed/absorbed,447.34371527310077,g5:105MeV(t0 52)
flow0000001,11,0,862.5795488134027,363.9146310260066,0.9284151767479376,0.5961751756419135,348.3310347944498,mixed/absorbed,330.87006195105533,g7:347MeV(t0 116)
flow0000001,11,1,3509.851363159716,524.1685814044902,0.9897671534644202,0.8420898462907636,554.2411682531238,mixed/absorbed,161.12759113390518,g38:550MeV(t0 473)
flow0000001,11,35,114.73806039243937,47.836976818834984,0.954467697411995,0.8252702296507324,20.048154942691326,mixed/absorbed,441.4614395966401,g35:20MeV(t0 428)
flow0000001,11,98,150.81257262825966,68.91204290767135,0.9891364849731876,0.8366237491278689,24.639192700386047,mixed/absorbed,470.187261076055,g40:25MeV(t0 516)
flow0000001,11,104,337.9109608605504,225.74185537149054,0.9990516170032677,0.9380041716572258,20.949069924652576,mixed/absorbed,251.95711868591573,g21:21MeV(t0 262)
flow0000001,11,237,61.26368209719658,19.364739044981516,0.7526040136913663,0.5817030639219618,25.626410514116287,mixed/absorbed,65.94718898027793,g5:26MeV(t0 79)
flow0000001,11,307,151.73036759346724,41.76398041504673,0.7681406004360043,0.8278188166181726,26.125114247202873,mixed/absorbed,330.59381341215357,g36:24MeV(t0 439)
flow0000001,11,982,503.0064920336008,96.0576225808002,0.9306941116322155,0.7128771806912695,144.42464212328196,mixed/absorbed,183.4257815184831,g46:144MeV(t0 581)
flow0000001,11,1014,3546.3636017739773,96.0428407987174,0.7899028506308935,0.9673555118008472,115.7692247480154,mixed/absorbed,161.01834667904564,g38:84MeV(t0 473)
flow0000001,12,6,451.9683180972934,184.0508317460599,0.8702371427938308,0.7383651909173702,118.25064461678267,mixed/absorbed,348.54733126553623,g50:118MeV(t0 571)
flow0000001,12,31,433.21978191286325,219.24159171612067,0.9891274887361283,0.947861997459587,22.587214089930058,mixed/absorbed,572.714013541202,g68:20MeV(t0 804)
flow0000001,12,33,180.67765018343925,96.3407868540939,0.9904466708191146,0.7955214847916893,36.94469764083624,mixed/absorbed,617.5342959876822,g50:37MeV(t0 571)
flow0000001,12,61,55.64148007333279,29.795243294784402,0.9169882090547051,0.6365340386752656,20.223784044384956,mixed/absorbed,178.9708717687806,g12:16MeV(t0 138)
flow0000001,12,170,132.70032000541687,75.8211691777689,0.9890725142786603,0.8282459079493275,22.791822977364063,mixed/absorbed,503.3928264145405,g50:21MeV(t0 571)
flow0000001,12,235,267.9947899058461,43.405245648240935,0.8342795330895415,0.8554407939099791,38.74111406505108,mixed/absorbed,590.4534520688264,g32:39MeV(t0 364)
flow0000001,12,261,97.38803400844336,25.61509406925949,0.6676944089297026,0.5654307232221336,42.32184750586748,mixed/absorbed,590.5449395237199,g54:37MeV(t0 601)
flow0000001,12,572,274.4776270240545,100.58818112988507,0.9307650064410206,0.5227567558168118,130.99259317666292,mixed/absorbed,147.01791421990646,g12:131MeV(t0 138)
flow0000001,12,974,47.654094472527504,9.409300639003092,0.7163233419855412,0.5727226207891715,20.36151659488678,mixed/absorbed,349.61405017329196,g41:20MeV(t0 467)
