file,event,lab_a,lab_b,gap,angle,offset,e_a,e_b,same_tpc
flow0000001,0,0,1,29.219166660748144,10.076598961586178,5.633387925040252,3164.739609710872,577.7453772723675,True
flow0000001,0,0,580,63.17271772488755,0.5637494723041863,0.6884032885273952,3164.739609710872,1258.9852038249373,True
flow0000001,0,102,1309,7.413926108258966,4.782901162047884,0.9929400874208857,68.94263959676027,81.39288322627544,False
flow0000001,0,107,125,79.70187008851906,0.5194081837003276,0.7507652242013124,235.787782587111,164.49604314565659,False
flow0000001,0,107,1411,56.45222763381065,0.20585860768103342,0.7344316441160296,235.787782587111,24.677088856697083,False
flow0000001,0,123,131,22.78179837040256,10.820266050085861,3.4314815732925017,315.2086203470826,106.71086862683296,True
flow0000001,0,125,1411,5.21821458887558,0.4456579567509924,0.09032844386159064,164.49604314565659,24.677088856697083,False
flow0000001,0,83,1017,16.313324812211118,2.759956935846293,1.6074919337109812,102.0929205045104,29.03613119572401,False
flow0000001,0,159,160,2.9858023094841215,3.835814788507932,0.8912014833579023,204.99551760405302,259.70980954915285,True
flow0000001,0,169,1644,37.284111943737976,7.241788790028412,5.590788970569921,508.8721580579877,75.95650052279234,False
flow0000001,0,169,1947,6.203365479401283,6.638172023820592,6.171125314912946,508.8721580579877,957.8125801384449,True
flow0000001,0,48,70,9.053428184701634,0.22881331462561702,0.5913783590823066,456.29344418644905,85.93965776264668,True
flow0000001,0,48,76,62.629654002126955,0.6212813573854069,2.293901972852722,456.29344418644905,191.20982421189547,False
flow0000001,0,7,33,17.048793096118807,6.464564203695996,6.067257442171608,846.8006384074688,129.12595710903406,True
flow0000001,0,13,281,1.5796016258635917,2.1626560374031443,1.5497547025066212,143.32564418762922,24.027596153318882,False
flow0000001,0,8,11,36.372434589331384,7.825324927855437,0.46593809121122104,764.5218071043491,59.34529576450586,True
flow0000001,0,98,115,62.606525200895355,1.5348471487665896,4.072289692406545,456.1007786989212,158.33644435554743,False
flow0000001,0,98,1166,5.358257008483217,3.40093588491814,2.2279610441818227,456.1007786989212,32.17389069497585,False
flow0000001,0,98,1250,40.10642069367267,1.106702798016282,3.3349045221717444,456.1007786989212,28.0965234041214,False
flow0000001,0,115,1250,5.268376050660499,0.6440435859844441,0.4034398230923561,158.33644435554743,28.0965234041214,False
flow0000001,0,127,1393,9.317360706950888,7.0084424463822,2.80744583837317,120.26042690128088,58.27066206932068,False
flow0000001,0,150,1840,1.633300412312853,8.184064039089224,1.4726640204880705,187.0872377604246,19.484644651412964,True
flow0000001,0,15,16,3.7488854133280274,7.247748729307922,3.7083854884792133,212.13262156397104,102.5597785115242,True
flow0000001,0,15,19,14.175064952879447,2.9949021604466353,0.48384187330397677,212.13262156397104,75.55444885790348,True
flow0000001,0,15,252,4.379259005560711,6.557979587856849,4.37887507216704,212.13262156397104,878.8574861437082,True
flow0000001,0,16,252,7.639340134572545,3.020298636852212,7.631927554004687,102.5597785115242,878.8574861437082,True
flow0000001,0,54,339,11.827533519688593,5.11440872480251,3.9015756217592354,247.85332851856947,25.4582649320364,False
flow0000001,0,25,40,56.53434632182923,3.5413810519809235,3.443487389993247,357.48779805749655,320.4456508010626,False
flow0000001,0,35,38,52.85171390492709,0.35118650739873936,2.7056325541624746,78.35320982336998,651.1214215382934,False
flow0000001,0,44,85,43.917437081656296,0.9550994412367116,2.7829103279864587,106.90926734358072,585.9687415510416,False
flow0000001,0,95,97,57.55386215702693,6.697133496581741,1.983042892187872,60.10720510035753,70.12634604424238,False
flow0000001,0,75,88,4.657164054303797,0.9217185176418435,0.8153613062660005,496.63910614699125,308.841709472239,False
flow0000001,0,174,1889,9.858958894060445,5.575285511921655,1.93053762004159,154.00287829339504,27.98012739419937,False
flow0000001,0,124,143,13.011235562512196,13.468176521931342,4.490397425916772,388.04010370373726,73.22827877104282,True
flow0000001,1,0,444,49.01808976062043,8.206129495780884,4.314457563904134,961.0740605145693,48.20868796110153,False
flow0000001,1,18,29,50.38083775959253,0.25811690835401213,3.206118601510135,84.53494219481945,311.9894981831312,False
flow0000001,1,13,16,47.536017312430864,0.3903582126228468,0.873520802681125,986.2450682297349,1081.5820796862245,True
flow0000001,1,16,205,4.782389024555206,7.453606220374569,1.6652245598731126,1081.5820796862245,530.3767724633217,False
flow0000001,1,61,713,1.5072246805506637,6.468366725373769,1.4222688013001241,85.05195620656013,49.12679994106293,False
flow0000001,1,130,134,4.685557245038109,1.9597071297306448,0.12424627247820842,110.56627031415701,70.862778455019,True
flow0000001,1,130,138,44.427706874411626,14.23314263873519,2.137886435478643,110.56627031415701,51.11015162616968,False
flow0000001,1,134,138,15.73925936296056,14.394643712189062,3.014417230262769,70.862778455019,51.11015162616968,False
flow0000001,1,135,1540,1.5102109674272501,3.0556326961507327,1.3565842411599687,175.21053398400545,271.14942917972803,True
flow0000001,1,12,24,31.64595292639773,2.608953191206218,3.331755439790331,626.2827173694968,56.021557718515396,False
flow0000001,1,28,49,58.04966730329664,1.279601092664452,3.1331412097698044,564.2045795097947,139.49221585690975,False
flow0000001,1,117,1316,5.97646775394871,0.6036387202906097,1.264941494849582,112.74451857805252,39.801418267190456,False
flow0000001,1,55,85,59.626540432528564,0.6461442483527986,1.2021269637182563,302.4220879524946,247.0181766450405,False
flow0000001,1,127,1509,6.629707310794294,3.555630073946544,0.7274976193927384,238.80675657838583,34.584133833646774,False
flow0000001,1,69,71,62.696623982416696,2.492740633404705,2.1663573846497184,117.21915993839502,541.5635456219316,False
flow0000001,1,84,895,5.261411246382173,4.546854378693751,0.37230126691068866,355.3480828255415,37.62110011279583,False
flow0000001,1,124,1411,9.1737235748054,11.02100291494458,0.9838469108058637,47.41095271706581,34.980771735310555,True
flow0000001,1,118,119,0.8215483476031071,3.381262517505067,0.7823360847765041,1127.8332238197327,1000.6898171976209,True
flow0000001,1,120,128,57.1021741241502,0.20826492518818354,1.6362053317663028,316.9962837845087,352.5361091271043,False
flow0000001,10,37,52,42.79667928195004,1.099144933347347,1.5425302294230208,341.24886827915907,198.3348281532526,False
flow0000001,10,40,564,12.159017507810889,4.0520230713274525,0.9922025807615442,344.90443555265665,444.22120773792267,True
flow0000001,10,53,579,62.41518929964766,3.500150938042746,2.020716604741017,223.70981635153294,25.248242497444153,True
flow0000001,10,16,17,14.291209312167222,4.255481798063293,1.9501970355518174,79.36574432253838,166.94402278214693,True
flow0000001,10,23,359,1.1155507221487526,4.245238726177722,1.1155464976708653,41.44019891321659,14.730237863957882,True
flow0000001,10,3,4,6.398959485379499,0.20365834812584732,0.38645212572831567,3152.5635313615203,1551.3741194605827,True
flow0000001,10,3,852,2.1897261060654327,0.8074215787455722,2.105281697257341,3152.5635313615203,2029.7982631027699,True
flow0000001,10,4,852,19.870631239669617,0.6301954876258986,1.7683225852903965,1551.3741194605827,2029.7982631027699,True
flow0000001,10,68,82,5.719325455894586,10.953798009425517,5.272340498930454,75.60874520242214,126.44406858831644,False
flow0000001,10,91,901,18.112315188197293,0.35203007035462147,1.374521919983196,538.2512697353959,41.62060488760471,False
flow0000001,10,18,268,32.63225288208862,2.2666176504661797,5.488759366782073,37.59084738790989,41.58891832828522,True
flow0000001,10,13,14,7.483689774983752,14.722050351530983,2.276106240260552,352.504739202559,127.79416794329882,True
