file,event,lab_a,lab_b,e_a,e_b,old_end_dist,old_angle,reason
flow0000001,10,72,79,238.2238193526864,398.9173234850168,2.774415013636665,63.91618497464893,doca 1.93 >= 0.75 (bnd)
flow0000001,12,182,185,161.03266282379627,49.97692156583071,1.7191179405988553,58.51863467031722,back-wall veto (vz 913)
flow0000001,3,80,84,117.35131956636906,56.414852529764175,2.543687723863661,55.6354741378286,doca 1.83 >= 1.5 (int)
flow0000001,5,98,100,171.37360534071922,124.26343113929033,1.8096327892928321,66.01433894981467,doca 0.81 >= 0.75 (bnd)
flow0000001,6,5,6,145.01203501969576,530.0415994599462,2.379902436025126,63.53601383740164,doca 0.75 >= 0.75 (bnd)
flow0000001,6,38,41,55.962961472570896,94.12464263290167,2.5308819735613786,123.52818965771941,doca 0.82 >= 0.75 (bnd)
flow0000001,7,59,61,325.0438492298126,239.03541153669357,2.245417893834155,21.089704606569914,doca 1.84 >= 1.5 (int)
flow0000001,8,13,19,227.01731103658676,176.07832900434732,1.8667830567932349,100.66055372966166,doca 0.77 >= 0.75 (bnd)
flow0000001,8,83,84,172.89741956442595,92.96068225055933,2.5620242330846676,17.676624898579345,doca 2.46 >= 1.5 (int)
flow0000002,0,111,113,167.36773066967726,139.12009808421135,2.4618443588659935,95.96948168769487,doca 2.29 >= 0.75 (bnd)
flow0000002,10,96,97,124.0651924610138,73.40040419995785,3.712519071216232,55.44992433405547,doca 2.77 >= 1.5 (int)
flow0000002,10,118,122,154.03408490866423,117.81244667619467,1.5901352601203271,72.5130434738952,doca 1.49 >= 0.75 (bnd)
flow0000002,11,32,34,124.99413320422173,120.30421378463507,3.327166370349665,26.32336864405811,doca 1.62 >= 0.75 (bnd)
flow0000002,3,61,67,80.55056459456682,121.41515044867992,2.054189414448132,128.84485360314395,doca 0.99 >= 0.75 (bnd)
flow0000002,8,22,28,154.00733465701342,522.6016435846686,2.432811000487582,61.67996126755237,doca 2.41 >= 1.5 (int)
flow0000003,0,132,133,281.8659927472472,157.50065252929926,1.6583394766613975,36.250796563953344,doca 1.54 >= 1.5 (int)
flow0000003,10,69,71,139.2895175293088,44.418092384934425,2.347649378222654,158.74998730777332,doca 1.81 >= 0.75 (bnd)
flow0000003,12,52,53,169.4588787779212,65.09902077913284,1.9063482709206414,41.13172190439572,doca 1.45 >= 0.75 (bnd)
flow0000003,12,112,113,275.13014436513186,174.14768339693546,2.004662430667264,88.40341385783803,doca 1.66 >= 0.75 (bnd)
flow0000003,2,44,49,128.19319555908442,83.81506952643394,3.517236284317303,33.0692257904895,back-wall veto (vz 907)
flow0000003,3,127,132,149.05261936038733,179.2675209492445,1.4868818030503175,156.15186728185395,doca 0.91 >= 0.75 (bnd)
flow0000004,10,172,174,79.25141893327236,40.68449980765581,3.937971251905464,129.95176077796702,doca 1.60 >= 1.5 (int)
flow0000004,11,85,86,206.29737077653408,298.12227538973093,3.0634700178848595,33.141929280352024,doca 1.57 >= 1.5 (int)
flow0000004,3,61,62,154.46511939167976,103.82325806468725,3.6330494393403625,19.584725064572964,doca 1.93 >= 0.75 (bnd)
flow0000004,3,143,144,160.20658407360315,147.16400971263647,3.3885418670805016,19.229354181311106,doca 2.02 >= 0.75 (bnd)
flow0000004,7,33,34,119.17066569626331,547.5287294462323,2.2754119498705423,49.96400935169452,doca 1.81 >= 0.75 (bnd)
flow0000005,0,16,17,122.08263992518187,99.84270393103361,1.3131584650491053,32.073687192319916,doca 1.17 >= 0.75 (bnd)
flow0000005,1,113,117,116.08210992068052,175.63487803936005,2.4076156265198745,81.2584228748214,doca 1.01 >= 0.75 (bnd)
flow0000005,10,36,38,118.10096815228462,68.2533395215869,2.7376086009031404,162.42430811855226,doca 2.43 >= 1.5 (int)
flow0000005,10,43,44,132.52182515710592,102.79957731813192,1.4338003232818648,26.813236735852506,doca 1.39 >= 0.75 (bnd)
flow0000005,3,64,66,277.30202505737543,81.64382815361023,2.277239091727584,58.05415291107553,doca 1.00 >= 0.75 (bnd)
flow0000005,3,84,86,785.8378945887089,106.78793495893478,3.9829855930144413,42.55990346527433,doca 1.17 >= 0.75 (bnd)
flow0000005,7,6,10,106.41518004983664,79.03980302065611,1.407631857680844,120.11824533052946,doca 0.83 >= 0.75 (bnd)
flow0000005,7,14,15,43.52179406583309,128.5766171440482,2.425074434931107,160.96252292278393,doca 2.28 >= 0.75 (bnd)
flow0000006,11,61,65,253.03223963826895,362.0068600028753,3.0665304232986372,54.22251273154008,doca 2.74 >= 1.5 (int)
