file,event,label,e_mev,length,n_tpcs,purity,foreign,hint,dom_t0,top_foreign,vp_merged
flow0000001,0,7,764.5218071043491,496.38138565270833,5,0.9825924051779529,13.308485850691795,mixed/absorbed,512.5955103187305,g14:13MeV(t0 274),
flow0000001,0,9,413.0805556997657,278.6475480017013,3,0.9835810665565752,6.782342150807381,mixed/absorbed,53.14233117753067,g15:7MeV(t0 281),
flow0000001,0,28,230.66014475375414,125.47975709398693,2,0.9172020074858508,19.09819693863392,mixed/absorbed,53.9772315477377,g12:19MeV(t0 253),yes
flow0000001,0,36,774.9512784257531,496.41505661699375,5,0.947650768283119,40.56810404360294,mixed/absorbed,484.01749016115207,g40:30MeV(t0 562),
flow0000001,0,41,41.72888062894344,26.2996081415398,1,0.841015155178483,6.634259611368179,mixed/absorbed,411.97950872756144,g31:7MeV(t0 483),
flow0000001,0,45,816.6182201206684,505.2522179898522,5,0.9567436667545699,35.32390986382961,mixed/absorbed,24.754927183378726,g10:35MeV(t0 223),
flow0000001,0,48,456.29344418644905,297.5367159030251,4,0.9688196395694076,14.227394051849842,mixed/absorbed,224.64773657946594,g1:14MeV(t0 34),
flow0000001,0,60,78.17614739388227,25.216261964050616,1,0.84388799403003,12.204235188663006,mixed/absorbed,562.247475002123,g43:12MeV(t0 595),
flow0000001,0,76,191.20982421189547,76.26951563410745,1,0.9483574564455952,9.874561674892902,mixed/absorbed,224.09529986134564,g6:10MeV(t0 145),
flow0000001,0,114,875.5009555593133,496.73504616696766,5,0.9898983160436671,8.84403395652771,mixed/absorbed,142.82377233679964,g2:9MeV(t0 61),yes
flow0000001,0,119,582.4722419753671,395.5189380062974,4,0.9893056156911387,6.229182004928589,mixed/absorbed,292.9312325488475,g8:6MeV(t0 193),
flow0000001,0,124,388.04010370373726,291.6926975608316,3,0.9752609765283923,9.599733233451843,mixed/absorbed,581.6024541810501,g6:6MeV(t0 145),
flow0000001,0,148,777.1097801625729,472.4030327267857,5,0.9798570464900531,15.653286173939705,mixed/absorbed,387.11080909653464,g8:16MeV(t0 193),
flow0000001,0,155,103.42789373546839,46.888543279832774,1,0.8636468596810833,14.102718107402325,mixed/absorbed,193.08612867714703,g25:13MeV(t0 407),
flow0000001,0,168,629.5779517889023,473.7690161226442,5,0.7969271044797214,127.85021762549877,bad-stitch?(tpc68),68.96401056719135,g1:128MeV(t0 34),
flow0000001,1,6,777.6662874296308,502.755407179818,5,0.9916887134245185,6.463407374918461,mixed/absorbed,97.63562057500701,g0:6MeV(t0 3),
